英文单词,中文意思,难度
abandon,vt.离弃，丢弃；遗弃，抛弃；放弃,
abdomen,n.腹，下腹(胸部到腿部的部分)   （同）belly,△
abide,vi.(abode，abided)(by)遵守；坚持,
ability,n.能力；本领；才能，才干；专门技能，天资,
abnormal,a.反常的，不正常的，不规则的,
aboard,ad.& prep.在船(飞机、车)上；ad.上船(飞机),△
abolish     ,vt.废除(法律、习惯等)；取消,
abound,vi.大量存在；(in，with)充满，富于,△
abroad,ad.到国外，在国外；在传播，在流传,
abrupt,a.突然的，出其不意的；(行为等)粗鲁无礼的,▲
absence,n.缺乏，不存在；缺席，不在；缺席的时间,
absorb,vt.吸收(水、光、蒸汽等）；使全神贯注,
abstract,a.抽象的 n.摘要，梗概 vt.提取；摘录要点,
absurd,a.荒谬的，荒诞的，荒唐可笑的；不合理的,▲
abundance   ,n.丰富，充裕，大量,△
abundant,a.大量(充足)的；(in)丰富(富裕)的,△
abuse,vt.滥用；辱骂；诋毁 n.滥用；恶习；弊端,▲
academic,a.学院的，大学的；学术性的；理论的,
academy,n.(高等)专科院校；学术社团，协会，研究院,
accelerate,v.使加速，使增速，促进 vi.加快，增加,
accent,"n.口音,腔调；重音(符号)vt.重读",
access,n.进入；接入；到达；享用权；入口 vi.存取,
accessory    ,"n.附件,附属品;(为全套衣服增加美感的)服饰",△
accident,"n.意外遭遇,事故；意外(因素)",
acclaim,v.向…欢呼，公认 n.欢呼，喝彩，称赞,▲
accommodate,vt.向…提供住处；对...予以照顾性考虑,
accommodation,n.(accommodations)住宿，留宿；膳宿供应,
accompany,v.陪伴，陪同；伴随，和...一起发生，伴奏,
accomplish,v.实现(计划等)；达到(目的)；完成(任务),
accord,vt.给予(欢迎、称颂等) vi.&n.符合，一致,△
accordance,n.一致，和谐，符合,
accordingly,ad.相应地，照着办，按照；于是，因此,▲
account,a.叙述，说明；账目，账户；vi.说明，解释,
accountant,n.会计人员，会计师,
accumulate,vt.堆积，积累，积聚vi.累积，聚积,
accuracy,n.准确（性）；精确；准确度,
accurate,a.正确无误的；准确的，精确的,
accuse,vt.控告，指责 vi.指控，指责,
accustomed,a.惯常的；习惯的，适应的(一般作表语),
acid,"n.酸,酸性物质a.酸的,酸味的；尖刻的",
acknowledge,vt.承认；接受；告知(信件等的)收到；答谢,
acquaint,vt.(with)使认识，使了解，使熟悉,△
acquaintance,n.认识，相识，了解；相识的人，熟人,
acquire,v.获得；学到(知识等)；养成(习惯),
acquisition ,n.取得，学到，养成(习惯)；获得的东西,
acrobat,n.特技演员，杂技演员,▲
activate,vt.启动，激活；驱动，驱使；使开始起作用,
activity,n.活动；活力；能动性；,
acute,a.剧烈的；敏锐的；成锐角的；尖的，高音的,
adapt,vt.使适应，使适合；改编；改写 vi.适应,△
addict,v.使沉溺；使上瘾 n.沉溺于不良嗜好的人,▲
addition,n.加，加法；附加部分，增加(物),
additional,a.额外的，附加的，另外的,
adequate,adj.充足的，足够的；适当的，胜任的,△
adhere,vi.(to)粘着；坚持，遵守；依附，追随,
adjacent,a.(to)(时间上)紧接着的；邻近的，毗邻的,△
adjoin,v.临近，靠近；贴近，毗连,△
adjust,vt.调节；整顿，调整 vi.适应(to)；使调节,
administer   ,v.施行，实施；掌管，料理...的事务；给予,
administration ,n.经营，管理；行政，行政机关，管理部门,
admission   ,n.允许进入；承认；入场费，入会费，入场券,
adolescent  ,n.青少年  a.青春期的，青少年的,
adopt,vt.采用，采取(态度等)；选定；收养,△
adore,"vt.崇拜,敬慕,爱慕；非常喜欢",△
adult,n.成年人 a.成年的，充分长成的，成熟的,
advent,n.(重要事件等的)到来，来临,▲
adverse,a.逆的，相反的；敌对的；不利的；有害的,
advertise,vt.公告，公布；为...做广告 vi.登广告,
advisable,a.可取的，适当的，明智的 ,△
advocate,n.辩护者，拥护者，鼓吹者 vt.拥护，提倡,
aerial,a.(在或来自)空中的，航空的 n.天线,
aesthetic,a.(esthetic)美学的，艺术的；审美的,
affection,n.爱，喜爱；爱慕之情；感情；疾病，不适,△
affiliate,v.使隶属(或附属)于 n.附属机构，分公司,▲
affirm,"vt.断言，坚持声称；肯定；证实,确认；",
affluent,a.富裕的，富有的，丰富的，富饶的；n.支流,▲
agency    ,n.代理(处)；代办处；,
agenda,n.议事日程，记事册,
agent,n.代理人；代理商；产生作用的人或事物,
aggravate,"vt.加重(剧),使恶化；激怒,使恼火",▲
aggressive  ,a.侵略的，好斗的，有进取心的，敢作敢为的,
agitate,v.摇动(液体)；使焦虑不安；困扰；鼓动,▲
agony,n.(精神或肉体的)极大痛苦，创伤,▲
agreeable,a.符合的；一致的；欣然同意的；令人愉快的,
aid,n.援助，救护；助手，辅助物 vi.援助，救援,
aircraft,n.飞机，飞船，飞行器,
airline,n.(飞机)航线  a.(飞机)航线的,
aisle,n.(教堂、教室、戏院等里的)过道，通道,▲
album,"n.(同一表演者的)集锦密纹唱片;集邮册,相册",
