单词,释义
abandon,"vt放弃, 遗弃vt放任, 狂热a+band+on一个乐队在演出，乐队演出很放纵"
abnormal,"adj反常的, 变态的ab=相反，变坏 normal正常"
abrupt,"adj.突然的, 意想不到的;陡的, 险峻的rupt=break"
absence,n.缺席n.不注意; 心不在焉sence 存在，相关，ab相反 缺席的
absolute,adj.绝对的；完全的；adj 确定的solut 松，解开 
absorb, vt. 吸收（液体）； vt. 支付；负担sorb吸收， absorb吸收掉
abstract,"n. 摘要, 概要, 抽象abs(离去)+tract(拉)→把大意从文中拉出来→摘要 "
abundance," n. 丰富, 充裕, 丰富充裕abundance=a + bun(小面包)+ dance,形象化记忆,很多的蚂蚁围着一块小面包在跳舞,因为丰收了"
accelerate, v. 加速ac+celer速度→一再增加速度， decelerate = de(向下）+celer（速度）降速
access,"n. 通路, 访问, 入门 v.存取, 接近ac(to)+ cess(go)通道,入口微软有一个软件叫access， 小型数据库，用于存取和访问大型数据库的通路"
accompany," v. 陪伴, 伴奏ac+company伙伴→陪伴"
accomplishment,"n. 成就, 完成, 实现, 达到n. 技艺, 才能"
accurate," adj.正确的, 精确的ac（加强）+cur（精心,精确）"
accuse," v. 控告, 谴责, 非难ac+cuse(原因)， 摆出一大堆原因，明显就是指责我"
accustom,v.使习惯于ac(一再)+custom(习惯)—>使习惯于
achieve,"v. 完成, 达到a chi吃 eve圣诞节前夜，在圣诞节前夜我们一起吃东西庆祝我们达成了目标"
acknowledge," v.承认, 答谢, 报偿ac-往里 +knowledge-知识，认识 =acknowledge-承认（“承”就是“往里”拿，往里拿一个知识——承认、认知）"
acquaintance,"n. 相识, 熟人quai变成guai是怪的拼音ac不再，不再怪了，变熟悉了"
acquisitive,"adj.想获得的, "
actually,adj.实际上；真实地对应virtually
adapt,v. 使适应；使适合 v.改编；改装adopt收养，采纳 
adequate,"adj.足够的adj.恰当的；胜任的“俺得夸他”,他做得足够的好,我得夸他"
adopt,v.收养v.采取；采用adapt放在一起记
advance,v.前进；增进v.提前；提前支付in advance预先
affective," adj 情感的, 表达感情的affect感动+ive表示主动的形容词→令人感动的"
affluence,n.富裕n.大量，丰富af+flu(流入）流入进来，变富裕
aggression,"n.进攻, 侵略ag(do, act)+gress(go)+ion----走过去, 行动, 进攻"
agony,"n.极大的痛苦谐音“爱过你”, 现在不爱了, 是一种极大的痛苦"
agriculture,"n.农业, 农艺, 农学"
alert,"adj.提防的, 警惕的adj.警惕, 警报alter 改变"
alien," adj.（常与to连用）与…相反的；与…不同的adj. 外国的；外国人的a( 相反)+lie(躺)----不躺在一起, 外国的"
allegiance," n.忠诚我力战死'。为了祖国我会力战而死-忠诚,拥护"
alter,"v.改变alert警惕的,放在一起记"
ambition,n.野心；雄心； 企图n.所希望的东西俺必胜'->野心
amid,prep.在...中
analyst,"n.分析家, 分解者"
ancient,n.古老的
anonymous,"adj.匿名的an(不, 无)+onymous(有名字的)-----没名字的"
antenna,n.天线ant蚂蚁+enna----蚂蚁的触角就像天线一样
antisocial,adj.危害社会的adj.自私的anti(反)+social(社会)-----违反社会的
anxious,adj.忧虑的；焦虑的， 不安的adj.渴望的
appeal,"v.呼吁；恳求v.上诉；诉诸于ap+peal(说)----去说, 呼吁"
appetite,n.食欲；胃口欲望ap+pet(欲望)+ite----追求欲望的胃口
appliance,"n.设备； 器械；装置appliance'器具（特指电器)'equipment“成套设备”（不可数名词), instrument 乐器；精密仪器
"
appreciate,"v.感激；感谢v.鉴赏；欣赏；赏识ap+prec(价值)+iate-----赞赏价值, 感激"
approach,"vt.走近；靠近 n.途径；通路ap+proach(路)-----路的通向, 途径"
appropriate,adj.正确的；适当的
approximate,"adj.近似的, 大约的"
argue,"n.争论, 辩论n.说服quarrel/argue/debate"
arithmetic,"n.算术, 算法"
arrest,"v.逮捕, 拘留, 吸引ar+rest(休息) 一个人让他歇着去吧"
arrogant,"adj.傲慢的, 自大的 ant——想射箭的蚂蚁——够“自大的!“   arrogate(霸占)"
artificial,"adj.人造的；人工的adj.做作的，不自然的Artifical(人工)Intelligence(智能), AI就是这两个英文的缩写,表示人工智能"
aspect,n.模样；面貌n.方面
assignment,n.指派的职位n.分配
association,n.协会n.联合；结交as（to）+soci（社会）+ation协会
assumption,n.假定；假设
astronaut,n.航天员astro（星星，宇宙）+naut（员）---航天员，见到astro知道与天空有关
athletic,adj.运动的； 运动员的adj.身强力壮的the Athletic Club， AC米兰知道吧
atmosphere,"n.大气n.气氛atmo(atom)+ sphere(球体)---“大气,氛围”,"
attain,"v.达到, 获得at+tain(拿)---一再拿过来, 获取"
attempt,"v.尝试, 企图"
attent,"adj.注意的, 留意的香港电影,attention就是来自这个词,注意, 立正,长官来了"
authority,n.权威；威信n.典据；权威著作
auxiliary,"adj.辅助的aux(增加)+iliary-----在原来的基础上增加的, 表示辅助的"
bacteria,n.细菌
ban,v.禁止band乐队被ban禁止演出
barrier,n.障碍bar表示长木，长木打做成的栅栏，演化到今天就变成了“障碍物”的意思。
be aware of,知道
behavior,"n.举止, 行为"
benefit,n.利益促进或增强福利的东西；好处n.救济金bene(好的）
benign,adj.和蔼的；温和的；慈祥的n.无危险的（疾病）相对的词malign---mal(坏的)
